dominant_t,topic_per,keywords,text,userid,textiD,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
9,0.484499991,"fuck_H, got_H, get_H, stay_H, girl_L, wish_L, mine_H, sad_H, song_H, gon_H",Jammin.. Its just one of those days When you don't wanna wake up Everything is fucked Everybody sux You don't really know why But you want justifyRippin' someone's head off No human contact And if you interact Your life is on contract Your best bet is to stay away motherfucker It's just one of those days!,009d96a823b6f6c085c092fb177491f6,184,56,4.55,96.27,30.01,25.77,28,14.29,94.64,62.5,23.21,10.71,0,0,10.71,0,0,12.5,0,12.5,12.5,8.93,7.14,5.36,17.86,1.79,1.79,3.57,3.57,0,3.57,1.79,1.79,0,1.79,0,21.43,0,1.79,0,0,21.43,3.57,3.57,5.36,5.36,3.57,5.36,0,0,0,0,7.14,3.57,1.79,1.79,0,7.14,1.79,1.79,3.57,3.57,0,1.79,16.07,1.79,14.29,1.79,8.93,5.36,0,0,0,1.79,0,0,5.36,3.57,0,0,0,0,14.29,3.57,0,0,0,0,1.79,0,0,8.93,0,0
12,0.600000024,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H","/Instant karma's gonna get you ... you better get yourself together./""___ John Lennon""",009d96a823b6f6c085c092fb177491f6,203,12,38.6,99,74.76,99,6,25,75,25,25,25,0,0,25,0,0,0,0,0,0,0,0,0,25,8.33,8.33,0,0,0,8.33,8.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,8.33,8.33,0,25,0,0,16.67,8.33,25,8.33,8.33,8.33,0,0,0,0,0,0,8.33,0,8.33,0,0,0,100,33.33,0,0,0,0,0,0,16.67,8.33,0,41.67
11,0.612600029,"take_L, care_H, unawar_L, play_H, know_L, game_H, thing_L, way_H, work_H, come_L",And that's about the time she walked away from me Nobody likes you when your 23 And you still act like you're in Freshman year What the hell is wrong with me? My friends say I should act my age What's my age again? What's my age again?,009d96a823b6f6c085c092fb177491f6,357,48,1.92,66.17,99,4.56,16,4.17,93.75,68.75,35.42,25,14.58,0,8.33,2.08,0,10.42,4.17,12.5,12.5,10.42,6.25,2.08,18.75,2.08,2.08,8.33,2.08,0,6.25,2.08,4.17,0,2.08,0,14.58,0,2.08,2.08,0,2.08,0,0,2.08,0,0,0,2.08,0,2.08,0,0,0,0,0,0,12.5,2.08,0,8.33,0,2.08,2.08,14.58,0,25,2.08,4.17,18.75,2.08,0,0,0,2.08,0,2.08,2.08,0,0,0,0,14.58,0,0,0,0,6.25,0,0,0,8.33,0,0
7,0.949100018,"say_H, time_H, go_H, know_H, good_H, take_H, got_H, feel_H, see_H, mind_H",Tonight Gotta Leave That Nine To Five Upon The Shelf And Just Enjoy Yourself C'mon And Groove Yeah Let The Madness In The Music Get To You Life Ain't So Bad At All If You Live It Off The Wall Life Ain't So Bad At All.,009d96a823b6f6c085c092fb177491f6,409,47,66.74,58.41,65.58,4.35,47,6.38,91.49,53.19,10.64,6.38,0,0,6.38,0,0,4.26,8.51,14.89,6.38,6.38,10.64,4.26,14.89,0,0,0,4.26,4.26,6.38,2.13,4.26,0,0,0,6.38,0,0,0,0,10.64,0,0,2.13,2.13,4.26,6.38,2.13,0,2.13,0,6.38,0,6.38,0,0,6.38,0,0,0,2.13,4.26,0,10.64,4.26,19.15,2.13,12.77,4.26,0,2.13,0,0,0,0,4.26,0,2.13,2.13,0,0,8.51,2.13,0,0,0,0,0,0,0,6.38,0,0
12,0.490200013,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H",Your always there when I get home and keep me warm through out the night in the morning is always a fight to let you go and I know you want me to stay just as much as I do. You always make me feel comfortable and warm and I love you because I can always count on laying upon you with no complaints :) I <3 my bed,009d96a823b6f6c085c092fb177491f6,410,69,31.91,71.89,98.89,93.61,34.5,7.25,97.1,60.87,23.19,23.19,14.49,0,8.7,0,0,0,4.35,14.49,5.8,4.35,11.59,1.45,17.39,7.25,2.9,1.45,1.45,1.45,10.14,7.25,2.9,0,1.45,0,13.04,0,0,0,0,13.04,2.9,2.9,1.45,0,5.8,0,4.35,0,0,4.35,1.45,0,0,0,0,2.9,1.45,0,0,1.45,0,0,15.94,0,18.84,2.9,7.25,10.14,0,0,2.9,0,0,0,1.45,0,1.45,0,0,0,2.9,1.45,0,0,0,0,0,0,0,0,0,1.45
7,0.920000017,"say_H, time_H, go_H, know_H, good_H, take_H, got_H, feel_H, see_H, mind_H","I've got hoes I've  got hoes, in different area codes # R.I.PNate Dogg",009d96a823b6f6c085c092fb177491f6,437,14,29.3,1,99,25.77,14,7.14,78.57,28.57,21.43,21.43,21.43,0,0,0,0,0,0,7.14,14.29,0,0,0,28.57,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,0,14.29,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,21.43,14.29,7.14,0,0,0,42.86,14.29,7.14,0,0,0,0,0,0,14.29,0,7.14
12,0.964600027,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H","Let the rain fall down And wake my dreams Let it wash away My sanity' Cause I wanna feel the thunder I wanna scream Let the rain fall down I'm coming clean, I'm coming clean.... Absolutely Beautiful outside :)",009d96a823b6f6c085c092fb177491f6,461,39,43.96,6.21,98.01,73.64,19.5,10.26,92.31,53.85,17.95,15.38,15.38,0,0,0,0,2.56,7.69,10.26,17.95,2.56,2.56,0,23.08,7.69,0,0,0,0,7.69,5.13,2.56,0,0,0,0,0,0,0,0,12.82,2.56,2.56,5.13,0,2.56,0,10.26,2.56,5.13,2.56,5.13,2.56,2.56,0,0,5.13,0,0,5.13,0,0,0,10.26,10.26,20.51,10.26,10.26,0,0,2.56,0,0,0,0,10.26,0,2.56,2.56,0,0,20.51,10.26,2.56,0,0,0,0,0,0,7.69,0,0
12,0.962700009,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H","I will always let you know **bobsnewline** That the place where I am is never far **bobsnewline** You know, you're not alone, don't be alarmed **bobsnewline** I'll find you no matter where you are **bobsnewline** So please remember that I'm gonna follow through all the way **bobsnewline** Oh my love, if it's all I can do, I'll take the fall 4 U **bobsnewline** Cos I will soar when I lay down with you and give my all 4 U **bobsnewline** ~POETS OF THE FALL~",009d96a823b6f6c085c092fb177491f6,472,84,1.92,50,98.01,25.77,84,11.9,85.71,58.33,25,21.43,11.9,0,9.52,0,0,3.57,4.76,4.76,17.86,5.95,5.95,4.76,27.38,3.57,0,3.57,2.38,3.57,4.76,2.38,2.38,1.19,0,1.19,9.52,0,0,0,0,14.29,4.76,1.19,1.19,1.19,5.95,2.38,0,0,0,0,1.19,0,0,0,0,4.76,1.19,0,1.19,1.19,1.19,1.19,20.24,5.95,15.48,4.76,7.14,3.57,0,0,0,0,0,0,4.76,0,3.57,0,1.19,0,47.62,0,4.76,0,0,0,0,0,0,7.14,0,35.71
0,0.909699976,"love_H, got_H, want_H, feel_H, thing_H, make_H, need_H, come_H, see_H, day_H",I just want to hop back under the covers and pretend I don't have a job. me need sleeps!,011679a3ae49998801ada93d822b7302,612,19,35.06,1.81,81.22,25.77,9.5,5.26,94.74,63.16,15.79,15.79,15.79,0,0,0,0,0,10.53,10.53,10.53,10.53,5.26,5.26,26.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,5.26,0,10.53,0,0,0,0,0,0,0,5.26,5.26,0,0,0,5.26,0,0,5.26,0,0,0,26.32,0,15.79,5.26,10.53,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,15.79,5.26,0,0,0,0,5.26,0,0,5.26,0,0
5,0.896300018,"know_H, want_H, hold_H, wait_H, dark_H, tell_H, love_H, heart_H, live_H, wish_H",/All you have to do is close your eyes and just reach out your hands and touch me. Hold me close,01530624766b3be63c7709c6581c335d,875,21,5.89,97.14,68.01,25.77,10.5,0,90.48,61.9,23.81,23.81,9.52,0,14.29,0,0,0,0,9.52,14.29,4.76,9.52,0,19.05,0,0,0,0,4.76,0,0,0,0,0,0,14.29,0,0,0,0,4.76,0,0,0,0,4.76,0,14.29,4.76,0,9.52,9.52,9.52,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,4.76,0,0,0,0,0,0,0,0,0,4.76
7,0.909699976,"say_H, time_H, go_H, know_H, good_H, take_H, got_H, feel_H, see_H, mind_H",/I don't care what you say. I don't care what you see. All I know's that inside there is space to bleed,01530624766b3be63c7709c6581c335d,901,22,1,50,61.34,99,7.33,0,95.45,63.64,36.36,22.73,13.64,0,9.09,0,0,13.64,0,9.09,13.64,4.55,0,9.09,31.82,0,0,9.09,0,4.55,9.09,9.09,0,0,0,0,13.64,0,0,0,0,4.55,0,0,0,0,4.55,0,9.09,4.55,4.55,0,4.55,4.55,4.55,0,0,0,0,0,0,0,0,0,31.82,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,9.09,0,0,0,0,0,0,0,13.64,0,4.55
0,0.852599978,"love_H, got_H, want_H, feel_H, thing_H, make_H, need_H, come_H, see_H, day_H","Something in me's churning, burning, turning. There and always yearning.",01530624766b3be63c7709c6581c335d,902,10,52.71,50,3.37,1,5,50,70,40,10,0,0,0,0,0,0,10,0,10,0,10,10,0,0,0,0,0,0,0,10,0,10,0,0,10,0,0,0,0,0,30,0,0,10,10,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,50,20,20,0,0,0,0,0,0,10,0,0
12,0.878300011,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H",I hate how when I close my eyes I hope I dream of you.,01530624766b3be63c7709c6581c335d,923,14,1,1.67,99,25.77,14,0,100,64.29,42.86,42.86,35.71,0,7.14,0,0,0,0,7.14,0,14.29,14.29,0,21.43,0,0,14.29,0,0,14.29,7.14,7.14,0,7.14,0,7.14,0,0,0,0,14.29,0,7.14,7.14,7.14,0,0,7.14,7.14,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,14.29,7.14,14.29,0,7.14,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0
0,0.940400004,"love_H, got_H, want_H, feel_H, thing_H, make_H, need_H, come_H, see_H, day_H",/You're so hypnotizing. Could you be the Devil? Could you be an angel? Your touch magnetizing. Feels like I am floating. Leaves my body glowing. They say,01530624766b3be63c7709c6581c335d,943,27,4.69,99,1.22,1,3.86,14.81,88.89,59.26,25.93,25.93,7.41,0,14.81,0,3.7,0,7.41,3.7,22.22,3.7,3.7,0,29.63,0,3.7,0,0,0,3.7,0,3.7,0,0,0,22.22,0,0,0,0,11.11,3.7,0,7.41,0,0,0,14.81,3.7,3.7,7.41,3.7,3.7,0,0,0,0,0,0,0,0,0,0,22.22,0,3.7,3.7,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,29.63,14.81,0,0,0,7.41,0,0,0,3.7,0,3.7
14,0.813300014,"think_H, m_H, know_H, eye_H, thing_H, wind_H, take_L, see_H, song_H, said_H",/I'll reach out if only you touch back. When I push you,01530624766b3be63c7709c6581c335d,947,12,1,79.76,99,25.77,6,0,91.67,75,33.33,33.33,16.67,0,16.67,0,0,0,0,8.33,8.33,25,16.67,0,16.67,0,0,8.33,0,0,0,0,0,0,0,0,16.67,0,0,0,0,8.33,0,0,8.33,8.33,0,8.33,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,33.33,8.33,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,25,8.33,0,0,0,0,0,0,0,8.33,0,8.33
0,0.909699976,"love_H, got_H, want_H, feel_H, thing_H, make_H, need_H, come_H, see_H, day_H","/I remember years ago someone told me I should take caution when it comes to love. I did./""""",01530624766b3be63c7709c6581c335d,966,18,1.92,28.91,99,98.27,9,16.67,100,55.56,33.33,22.22,22.22,0,0,0,0,11.11,0,5.56,11.11,5.56,5.56,0,33.33,0,0,5.56,0,0,5.56,5.56,0,0,0,0,16.67,0,0,0,0,16.67,5.56,0,5.56,5.56,0,0,0,0,0,0,5.56,0,0,0,0,16.67,5.56,0,0,5.56,5.56,22.22,11.11,0,22.22,5.56,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,33.33,11.11,0,0,0,0,0,0,11.11,0,0,11.11
0,0.920000017,"love_H, got_H, want_H, feel_H, thing_H, make_H, need_H, come_H, see_H, day_H","I know you want me baby. I think I want you too. /I think I love you baby./""  I think I love you too.""",01530624766b3be63c7709c6581c335d,973,24,1,95.2,99,99,8,0,100,58.33,50,50,33.33,0,16.67,0,0,0,0,0,0,8.33,0,0,25,0,0,0,0,0,8.33,8.33,0,0,0,0,33.33,8.33,0,0,0,25,16.67,0,8.33,0,0,0,0,0,0,0,8.33,0,0,0,0,8.33,8.33,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,0,0,8.33,0,0,8.33
14,0.852599978,"think_H, m_H, know_H, eye_H, thing_H, wind_H, take_L, see_H, song_H, said_H",I'm starting to think that maybe things are all okay.,01530624766b3be63c7709c6581c335d,975,10,1.92,15.86,93.3,99,10,10,100,60,30,10,10,0,0,0,0,20,0,10,20,10,0,0,40,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,30,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,10,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,20,10,0,0,0,0,0,0,0,10,0,0
12,0.733799994,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H",/Don't you know? So many things they come and go. Like your words that once rang true,01530624766b3be63c7709c6581c335d,998,17,1.15,99,66.34,98.87,5.67,0,94.12,52.94,29.41,17.65,0,0,11.76,0,5.88,11.76,0,5.88,5.88,5.88,11.76,5.88,29.41,5.88,5.88,0,5.88,5.88,5.88,5.88,0,0,0,0,17.65,0,0,0,0,11.76,5.88,0,0,0,5.88,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,17.65,11.76,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,23.53,5.88,0,0,0,5.88,0,0,0,5.88,0,5.88
5,0.909699976,"know_H, want_H, hold_H, wait_H, dark_H, tell_H, love_H, heart_H, live_H, wish_H",I really want to know if I am on your mind as much as you are on mine. I hope that it's not one of those things that I'll never know.,01530624766b3be63c7709c6581c335d,1002,31,1,2.69,96.96,83.22,15.5,0,96.77,77.42,38.71,22.58,16.13,0,6.45,0,0,16.13,0,19.35,12.9,6.45,9.68,6.45,25.81,6.45,6.45,0,3.23,3.23,3.23,3.23,0,0,0,0,6.45,0,0,0,0,25.81,6.45,0,9.68,6.45,3.23,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58,6.45,9.68,0,6.45,3.23,0,0,0,0,0,0,0,0,0,0,0,0,12.9,6.45,0,0,0,0,0,0,0,6.45,0,0
7,0.878300011,"say_H, time_H, go_H, know_H, good_H, take_H, got_H, feel_H, see_H, mind_H","Waiting for the day we meet again. We will meet again, right?",01530624766b3be63c7709c6581c335d,1013,12,38.6,99,99,25.77,6,8.33,100,58.33,16.67,16.67,0,16.67,0,0,0,0,8.33,8.33,8.33,16.67,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,16.67,8.33,41.67,0,8.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,25,8.33,8.33,0,0,8.33,0,0,0,0,0,0
7,0.909699976,"say_H, time_H, go_H, know_H, good_H, take_H, got_H, feel_H, see_H, mind_H",Don't break me cuz I'm already cracked and bleeding from the memories of my past. Is it too much to ask?,01530624766b3be63c7709c6581c335d,1060,21,11.05,7.67,98.01,25.77,10.5,19.05,95.24,66.67,19.05,14.29,14.29,0,0,0,0,4.76,4.76,14.29,14.29,9.52,9.52,4.76,19.05,0,0,0,0,4.76,0,0,0,0,0,0,4.76,0,0,0,0,9.52,4.76,4.76,0,0,0,0,0,0,0,0,4.76,4.76,4.76,0,0,0,0,0,0,0,0,9.52,19.05,0,14.29,0,0,9.52,0,0,0,0,0,0,4.76,0,4.76,0,0,0,19.05,4.76,0,0,0,4.76,0,0,0,9.52,0,0
0,0.940400004,"love_H, got_H, want_H, feel_H, thing_H, make_H, need_H, come_H, see_H, day_H",/You traded in your wings for everything freedom brings. You never left me. You never let me see what this feeling means. Everything that you feel is everything that I feel,01530624766b3be63c7709c6581c335d,1079,31,1,99,99,83.22,7.75,16.13,96.77,67.74,48.39,25.81,9.68,0,16.13,0,0,22.58,0,6.45,6.45,6.45,0,6.45,29.03,0,0,3.23,0,0,3.23,3.23,0,0,0,0,25.81,0,0,0,0,29.03,12.9,0,0,0,16.13,0,12.9,3.23,0,9.68,0,0,0,0,0,0,0,0,0,0,0,3.23,19.35,0,16.13,3.23,6.45,6.45,3.23,0,0,3.23,0,0,0,0,0,0,0,0,12.9,9.68,0,0,0,0,0,0,0,0,0,3.23
12,0.813300014,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H",/I'll be coming home just to be alone cuz I know you're not there,01530624766b3be63c7709c6581c335d,1081,14,1,7.67,99,1,14,0,100,71.43,21.43,21.43,14.29,0,7.14,0,0,0,0,7.14,28.57,14.29,7.14,7.14,42.86,7.14,0,0,0,0,7.14,0,7.14,0,0,7.14,7.14,0,0,0,0,21.43,7.14,7.14,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,7.14,7.14,0,0,0,0,7.14,0,0,0,7.14,0,7.14,0,0,0,21.43,0,0,0,0,0,0,0,0,14.29,0,7.14
12,0.813300014,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H",Who's going to be there when I fall apart? cuz the only one I have ever trusted was you.,01530624766b3be63c7709c6581c335d,1110,19,1,70.08,99,97.58,9.5,5.26,100,73.68,21.05,15.79,10.53,0,5.26,0,0,5.26,5.26,5.26,15.79,21.05,10.53,0,31.58,5.26,0,10.53,5.26,0,5.26,5.26,0,0,0,0,15.79,0,0,0,0,15.79,0,5.26,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,5.26,10.53,15.79,5.26,26.32,10.53,5.26,10.53,0,0,0,0,0,0,5.26,0,5.26,0,0,0,15.79,5.26,0,0,0,5.26,0,0,0,5.26,0,0
11,0.909699976,"take_L, care_H, unawar_L, play_H, know_L, game_H, thing_L, way_H, work_H, come_L","/She keeps her distance and sits on fences. Puts up resistance and builds defenses./""""",01530624766b3be63c7709c6581c335d,1127,14,68.29,92.33,52.86,25.77,7,21.43,78.57,42.86,14.29,14.29,0,0,0,14.29,0,0,0,14.29,0,0,14.29,0,21.43,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,21.43,0,35.71,7.14,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86,14.29,0,0,0,0,0,0,14.29,0,0,14.29
10,0.878300011,"take_L, say_H, night_H, beauti_H, day_H, death_H, escap_H, come_L, life_H, world_H","/Too late for the other side. Caught in a chase 25 to life./""""",01530624766b3be63c7709c6581c335d,1141,13,99,22.08,99,25.77,6.5,0,84.62,53.85,7.69,0,0,0,0,0,0,7.69,15.38,23.08,0,7.69,0,0,7.69,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,7.69,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,7.69,0,0,30.77,7.69,15.38,7.69,0,0,0,0,0,0,0,0,0,0,0,0,46.15,15.38,0,0,0,0,0,0,15.38,0,0,15.38
12,0.813300014,"go_H, know_H, let_H, love_H, day_H, fall_H, make_H, come_H, time_H, gon_H",For so long now I've been wanting to let it all go.,01530624766b3be63c7709c6581c335d,1151,12,1.92,20.24,74.76,25.77,12,8.33,100,66.67,16.67,8.33,8.33,0,0,0,0,8.33,0,16.67,25,16.67,8.33,0,41.67,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,25,0,25,8.33,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,0,0,0,0,0,0,8.33,0,0
2,0.878300011,"night_H, cri_H, lone_L, end_L, life_H, take_L, song_L, run_H, seem_H, go_L",/You're just another pretty face in a room full of whores. (No,01530624766b3be63c7709c6581c335d,1168,12,62.04,50,74.76,25.77,6,8.33,100,58.33,16.67,8.33,0,0,8.33,0,0,8.33,8.33,16.67,8.33,8.33,0,8.33,8.33,8.33,0,0,0,8.33,16.67,8.33,8.33,0,0,0,8.33,0,0,0,0,8.33,0,0,0,8.33,0,0,0,0,0,0,16.67,8.33,0,8.33,0,0,0,0,0,0,0,0,8.33,0,25,0,25,0,0,0,8.33,0,0,0,8.33,8.33,0,0,0,0,33.33,8.33,0,0,0,0,0,0,0,8.33,8.33,8.33
2,0.852599978,"night_H, cri_H, lone_L, end_L, life_H, take_L, song_L, run_H, seem_H, go_L",/I've spent the night dancing. I'm drunk,01530624766b3be63c7709c6581c335d,1171,7,5.89,7.67,99,25.77,3.5,14.29,100,42.86,28.57,28.57,28.57,0,0,0,0,0,14.29,0,28.57,0,0,0,57.14,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,14.29,14.29,0,0,0,0,14.29,28.57,0,28.57,14.29,0,14.29,0,28.57,0,14.29,0,0,0,0,0,0,0,0,57.14,14.29,0,0,0,0,0,0,0,28.57,0,14.29
13,0.813300014,"percent_H, watch_H, hand_H, lie_H, gayaa_H, sure_L, head_H, life_H, power_H, rememb_H",/I sit alone and watch the clock,01530624766b3be63c7709c6581c335d,1226,7,68.29,7.67,99,1,7,0,100,42.86,14.29,14.29,14.29,0,0,0,0,0,14.29,0,0,0,14.29,0,14.29,14.29,0,0,0,0,14.29,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,28.57,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,14.29
9,0.928200006,"fuck_H, got_H, get_H, stay_H, girl_L, wish_L, mine_H, sad_H, song_H, gon_H",/The drinking bone's connected to the party bone. The party bone's connected to the staying out all night long,01530624766b3be63c7709c6581c335d,1229,19,99,85.38,50.35,99,9.5,21.05,78.95,36.84,0,0,0,0,0,0,0,0,21.05,15.79,0,0,0,0,5.26,0,0,0,0,5.26,10.53,10.53,0,0,0,0,10.53,0,0,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,10.53,5.26,0,0,5.26,10.53,10.53,0,0,0,0,0,0,0,21.05,5.26,15.79,5.26,0,15.79,0,0,0,0,0,0,0,0,0,0,21.05,5.26,0,0,0,0,0,0,0,10.53,0,5.26
7,0.745500028,"say_H, time_H, go_H, know_H, good_H, take_H, got_H, feel_H, see_H, mind_H",/l'll be with you girl. Like being low. Hey,01530624766b3be63c7709c6581c335d,1231,9,75.9,99,4.97,1,3,0,88.89,55.56,11.11,11.11,0,0,11.11,0,0,0,0,22.22,22.22,0,0,0,22.22,0,11.11,0,0,0,11.11,0,11.11,0,0,11.11,33.33,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,11.11,0,0,0,0,0,44.44,22.22,0,0,0,0,0,0,0,11.11,0,11.11
5,0.745500028,"know_H, want_H, hold_H, wait_H, dark_H, tell_H, love_H, heart_H, live_H, wish_H",/How you turned my world,01530624766b3be63c7709c6581c335d,1232,5,1,97.69,99,25.77,5,0,100,60,40,40,20,0,20,0,0,0,0,0,0,20,20,0,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,40,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20
7,0.952499986,"say_H, time_H, go_H, know_H, good_H, take_H, got_H, feel_H, see_H, mind_H",/I feel angry. I feel helpless. Want to change the world. I feel violent. I feel alone. Don't try to change my mind,01530624766b3be63c7709c6581c335d,1235,23,60.05,1,99,1,3.83,8.7,95.65,39.13,21.74,21.74,21.74,0,0,0,0,0,4.35,8.7,4.35,0,0,4.35,30.43,13.04,0,0,0,0,17.39,0,17.39,0,8.7,8.7,0,0,0,0,0,34.78,17.39,8.7,4.35,4.35,0,0,17.39,0,0,17.39,0,0,0,0,0,8.7,0,4.35,4.35,0,0,0,30.43,0,13.04,8.7,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,30.43,21.74,0,0,0,0,0,0,0,4.35,0,4.35
0,0.813300014,"love_H, got_H, want_H, feel_H, thing_H, make_H, need_H, come_H, see_H, day_H",/We won't stop until somebody calls the cops,01530624766b3be63c7709c6581c335d,1236,8,11.86,99,74.76,25.77,8,12.5,100,62.5,25,12.5,0,12.5,0,0,0,12.5,12.5,12.5,12.5,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,37.5,12.5,0,12.5,0,12.5,0,0,12.5,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,12.5,0,12.5
8,0.958199978,"want_H, need_H, let_H, know_H, got_H, aliv_H, happi_H, keep_H, give_H, run_H","I don't need an education; I learned all **bobsnewline**  I need from you. They've got me on some medication... My **bobsnewline**  point of balance was askew. It keeps my temperature from  **bobsnewline** rising. My blood is pumping through my veins. Somebody  **bobsnewline** get me out of here, I'm tearing at myself. Nobody gives a **bobsnewline**  damn about me or anybody else.",03b6072a243347cf634eee1018be408d,1639,61,31.06,3.6,92.18,7.09,8.71,24.59,83.61,55.74,29.51,22.95,19.67,0,1.64,0,1.64,6.56,3.28,14.75,8.2,3.28,1.64,3.28,19.67,0,0,0,0,3.28,1.64,0,1.64,0,1.64,0,8.2,0,0,0,0,14.75,1.64,0,3.28,6.56,1.64,3.28,0,0,0,0,4.92,3.28,1.64,0,0,4.92,0,0,1.64,3.28,0,6.56,13.11,0,8.2,1.64,6.56,0,3.28,0,0,0,0,0,1.64,1.64,0,0,0,0,55.74,14.75,1.64,0,1.64,0,0,0,0,4.92,0,32.79
